original_url,audio_urls,title,description,duration,extracted_at,candidate_name,podcast_title,episode_title,date_posted
https://podcasts.apple.com/us/podcast/the-bret-baier-podcast/id1451866593?i=1000673365408,"['https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM3186432680.mp3']",An Exclusive Interview with Vi - The Bret Baier Podcast - Apple Podcasts,"Despite making many high-profile media appearances last week, many Americans continue voicing frustrations aboutÂ Vice President Kamala HarrisÂ speaking vaguely o",22:50,2024-11-21T11:40:12.379073,Harris,The Bret Baier Podcast,An exclusive interview with Vice President Kamala Harris,10/16/2024
https://podcasts.apple.com/us/podcast/immune-from-political-persecution/id1594728054?i=1000660887282,"['https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3', 'https://chrt.fm/track/254ACB/rss.art19.com/episodes/0d4cb71f-82d2-48f6-9bc0-2ed5543f6c9d.mp3']",IMMUNE FROM POLITICAL PERSECUT - The Great America Show - Apple Podcasts,President Donald Trump joins Lou with reaction from the landmark SCOTUS ruling. Trump says SCOTUS should be proud of themselves for standing up for the rule of ,08:00,2024-11-21T11:40:12.583888,Trump,The Geat America Show,IMMUNE FROM POLITICAL PERSECUTION,07/02/2024
https://podcasts.apple.com/us/podcast/127-president-donald-j-trump-make-america-great-again/id1492492083?i=1000666636330,"['https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pdrl.fm/55dc8e/chrt.fm/track/8G441/pscrb.fm/rss/p/mgln.ai/e/41/traffic.megaphone.fm/WWO5014209374.mp3']",#127 President Donald J. Trump - Shawn Ryan Show - Apple Podcasts,"Donald J. Trump is the 45th President of the United States and is now running for a second term. In June 2015, Trump announced his candidacy for the 2016 presid",10:00,2024-11-21T11:40:12.771210,Trump,Shawn Ryan Show,#127 President Donald J. Trump - Make America Great Again,08/26/2024
https://podcasts.apple.com/us/podcast/best-of-the-program-guest-president-donald-trump-10-15-24/id620967489?i=1000673202414,"['https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC2564527642.mp3']",Best of the Program | Guest: P - The Glenn Beck Program - Apple Podcasts,"Glenn plays the first part of his interview with President Donald Trump, in which they discuss Elon Musk and the potential Cabinet position he would have in a T",17:52,2024-11-21T11:40:14.875343,Trump,The Glenn Beck Program,Best of the Program | Guest: President Donald Trump | 10/15/24,10/15/2024
https://podcasts.apple.com/ph/podcast/exclusive-trump-opens-up-on-threats-to-his-life-by/id620967489?i=1000673202878,"['https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/mgln.ai/e/285/pscrb.fm/rss/p/prfx.byspotify.com/e/claritaspod.com/measure/traffic.megaphone.fm/BMDC6486494262.mp3']",EXCLUSIVE: Trump Opens Up on TâThe Glenn Beck Program â Apple Podcasts,"In a textbook example of projection and gaslighting, Kamala Harris accused President Trumpâs staff of hiding him. Bill Clinton admitted that Laken Rileyâs murde",17:52,2024-11-21T11:40:15.024978,Trump,The Glenn Beck Program,EXCLUSIVE: Trump Opens Up on Threats to His Life by Iranian Government | Guest: President Donald Trump | 10/15/24,10/15/2024
https://podcasts.apple.com/us/podcast/live-with-president-donald-trump/id965293227?i=1000673594129,"['https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/2jSe3/mgln.ai/e/41/arttrk.com/p/24FDE/verifi.podscribe.com/rss/p/traffic.megaphone.fm/WWO9347421248.mp3']",LIVE WIth President Donald Tru - The Dan Bongino Show - Apple Podcasts,"In this episode, I sit down with President Donald Trump in Trump Tower. We discuss everything from the Kamala administration's disastrous tornado response to hi",15:55,2024-11-21T11:40:15.158743,Trump,The Dan Bongino Show,LIVE WIth President Donald Trump ,10/18/2024
https://podcasts.apple.com/us/podcast/2219-donald-trump/id360084272?i=1000674513462,"['https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3', 'https://traffic.megaphone.fm/GLT4818230020.mp3']",#2219 - Donald Trump - The Joe Rogan Experience - Apple Podcasts,"Donald Trump is currently theÂ 2024 Presidential Candidate of the Republican Party. He previously served as Americaâs 45th president, and is also a businessman a",02:33,2024-11-21T11:40:15.281700,Trump,The Joe Rogan Experience,#2219 - Donald Trump,10/25/2024
https://podcasts.apple.com/us/podcast/listen-brians-full-interview-with-donald-trump-on-one/id219258773?i=1000670427697,"['https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3', 'https://pdst.fm/e/chrt.fm/track/25F5FC/dts.podtrac.com/redirect.mp3/traffic.megaphone.fm/FOXM9149193453.mp3']",LISTEN: Brian's full interview - Brian Kilmeade Show - Apple Podcasts,Learn more about your ad choices. Visit megaphone.fm/adchoices,16:11,2024-11-21T11:40:15.462607,Trump,Brian Kilmeade Show,LISTEN: Brian's full interview with DONALD TRUMP on 'One Nation' ,09/23/2024
https://podcasts.apple.com/gb/podcast/kamala-harris-mr-baseball-leonardo-davinci/id1010738108?i=1000674627320,"['https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3', 'https://chrt.fm/track/22GG1/dts.podtrac.com/redirect.mp3/pdst.fm/e/prfx.byspotify.com/e/rss.art19.com/episodes/b2a4a5cb-06c6-4f2d-b0bb-94a0368a8f04.mp3']",Kamala Harris and Leonardo daVâCBS News Sunday Morning with Jane Pauley â Apple Podcasts,"Hosted by Jane Pauley. In our cover story, Norah OâDonnell sits down with Vice President Kamala Harris in the final days of her campaign for the White House. Pl",19:00,2024-11-21T11:40:16.214092,Harris,CBS News Sunday Morning with Jane Pauley,"Kamala Harris, Mr. Baseball, Leonardo daVinci ",10/27/2024
https://podcasts.apple.com/us/podcast/vp-kamala-harris-on-courageous-leadership-and-winning/id1494350511?i=1000674680076,"['https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3', 'https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/524GE/traffic.megaphone.fm/VMP1244409660.mp3']",VP Kamala Harris on Courageous - Unlocking Us with BrenÃ© Brown - Apple Podcasts,"A conversation with Vice President Kamala Harris about the strength and fragility of democracy, the power of strong coalitions and collaborations, and how a com",08:00,2024-11-21T11:40:16.507603,Harris,Unlocking Us with Brene Brown,VP Kamala Harris on Courageous Leadership and Winning in 2024 ,10/28/2024
